timestamp_ms;temp_c;flow_l_min;total_liters;pulses_window
1;25.44;1.067;0.018;8
1739;25.44;2.267;0.082;17
3519;25.44;0.533;0.116;4
5299;25.38;0.667;0.133;5
7079;25.44;0.667;0.144;5
8859;25.38;0.4;0.162;3
10639;25.38;1.2;0.193;9
12419;25.44;0.667;0.218;5
14199;25.44;0.933;0.251;7
15979;25.38;0.8;0.264;6
17759;25.44;1.067;0.298;8
19539;25.38;1.6;0.333;12
21319;25.38;0.933;0.376;7
23099;25.38;0.933;0.391;7
24879;25.44;1.6;0.442;12
26659;25.38;1.2;0.48;9
28439;25.38;1.333;0.522;10
30218;25.38;0.0;0.524;0
31998;25.38;0.0;0.524;0
33778;25.38;3.333;0.591;25
35558;25.38;1.733;0.66;13
37338;25.38;1.867;0.693;14
39118;25.38;1.6;0.72;12
40898;25.38;1.067;0.762;8
42678;25.38;0.0;0.762;0
44458;25.38;0.0;0.762;0
46238;25.31;0.8;0.776;6
48018;25.38;1.067;0.793;8
49798;25.38;1.467;0.847;11
51578;25.31;0.0;0.871;0
53358;25.38;1.2;0.891;9
55138;25.31;1.867;0.922;14
56918;25.38;1.467;0.973;11
58698;25.31;0.0;0.98;0
60478;25.38;0.667;1.011;5
62258;25.31;0.0;1.016;0
64038;25.38;0.0;1.016;0
65818;25.31;0.0;1.016;0
67597;25.31;0.0;1.016;0
69377;25.31;0.0;1.016;0
71157;25.31;0.0;1.016;0
72937;25.25;0.0;1.016;0
74717;25.31;0.0;1.016;0
75733;-999.0;0.0;1.016;0
77507;25.31;0.0;1.016;0
79287;25.31;0.0;1.016;0
81067;25.25;0.0;1.016;0
82847;25.31;0.0;1.016;0
84627;25.25;0.0;1.016;0
85643;-999.0;0.0;1.016;0
86653;-999.0;0.0;1.016;0
87663;-999.0;0.0;1.016;0
88673;-999.0;0.0;1.016;0
89683;-999.0;0.0;1.016;0
91465;-999.0;0.0;1.016;0
92473;-999.0;0.0;1.016;0
93483;-999.0;0.0;1.016;0
95255;-999.0;0.0;1.016;0
96262;-999.0;0.0;1.016;0
97272;-999.0;0.0;1.016;0
98282;-999.0;0.0;1.016;0
100073;-999.0;0.0;1.016;0
101847;25.31;0.0;1.016;0
103627;25.25;0.0;1.016;0
105407;25.25;0.0;1.016;0
107186;25.25;0.0;1.016;0
108966;25.25;0.0;1.016;0
110746;25.25;0.0;1.016;0
112526;25.25;0.0;1.016;0
